classes,cohesion,coupling,fitness
4,3.6666666666666665,1.3333333333333333,2.333333333333333
4,3.6666666666666665,1.3333333333333333,2.333333333333333
4,3.6666666666666665,1.3333333333333333,2.333333333333333
6,3.6666666666666665,1.3333333333333333,2.333333333333333
8,4.0,1.0,3.0
6,4.0,1.0,3.0
8,4.0,1.0,3.0
6,4.0,1.0,3.0
8,4.0,1.0,3.0
5,4.0,1.0,3.0
4,4.0,1.0,3.0
5,4.0,1.0,3.0
5,4.0,1.0,3.0
5,4.0,1.0,3.0
4,4.0,1.0,3.0
6,4.0,1.0,3.0
7,4.0,1.0,3.0
6,4.0,1.0,3.0
7,4.0,1.0,3.0
9,4.0,1.0,3.0
4,4.0,1.0,3.0
