classes,cohesion,coupling,fitness
16,6.0,3.0,3.0
17,7.0,4.0,3.0
18,7.0,4.0,3.0
20,7.0,4.0,3.0
18,7.0,4.0,3.0
18,7.0,4.0,3.0
16,6.666666666666667,3.6666666666666665,3.0000000000000004
16,6.666666666666667,3.6666666666666665,3.0000000000000004
16,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
15,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
16,6.666666666666667,3.666666666666666,3.000000000000001
18,6.666666666666667,3.666666666666666,3.000000000000001
18,6.666666666666667,3.666666666666666,3.000000000000001
8,6.666666666666667,3.666666666666666,3.000000000000001
